POST /songs 400 3.843 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:05 GMT
POST /songs 201 1220.217 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:11 GMT
GET /songs 200 178.932 ms PostmanRuntime/7.37.3 Thu, 29 Aug 2024 13:16:15 GMT
POST /api/v1/songs 201 1030.415 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:40:55 GMT
GET /api/v1/stats 200 6269.482 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:41:01 GMT
POST /api/v1/songs 201 14310.143 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:41:26 GMT
GET /api/v1/stats 200 69182.238 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:42:35 GMT
POST /api/v1/songs 201 1852.987 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:58:07 GMT
GET /api/v1/stats 200 2560.865 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 07:58:09 GMT
GET /api/v1/songs 200 449.415 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:00:37 GMT
GET /api/v1/stats 304 1538.248 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:00:38 GMT
GET /api/v1/songs 304 591.940 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:00:42 GMT
GET /api/v1/stats 304 1520.989 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:00:43 GMT
GET /api/v1/songs 304 1285.654 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:03:16 GMT
GET /api/v1/stats 304 2314.312 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:03:17 GMT
GET /api/v1/songs 304 321.666 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:05:43 GMT
GET /api/v1/stats 304 1178.112 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:05:44 GMT
GET /api/v1/songs 304 325.815 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:05:45 GMT
GET /api/v1/stats 304 1252.180 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:05:46 GMT
GET /api/v1/songs 304 16600.932 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:07:25 GMT
GET /api/v1/stats 304 35785.970 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:07:45 GMT
GET /api/v1/songs 304 2797.169 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:07:54 GMT
GET /api/v1/stats 304 3588.934 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:07:54 GMT
GET /api/v1/songs 304 322.245 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:09:11 GMT
GET /api/v1/stats 304 1314.985 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:09:12 GMT
GET /api/v1/songs 304 432.802 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:14:11 GMT
GET /api/v1/stats 304 1381.566 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:14:12 GMT
GET /api/v1/songs 304 304.952 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:32:04 GMT
GET /api/v1/stats 304 1041.533 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:32:05 GMT
POST /api/v1/songs 201 4898.749 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:34:00 GMT
GET /api/v1/stats 200 2311.077 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:34:02 GMT
GET /api/v1/songs 200 333.145 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:34:11 GMT
GET /api/v1/songs 304 237.550 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:34:12 GMT
GET /api/v1/stats 304 1065.808 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:34:12 GMT
GET /api/v1/stats 304 1188.725 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:34:13 GMT
GET /api/v1/songs 304 7295.457 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:00 GMT
GET /api/v1/songs 304 19411.101 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:34 GMT
GET /api/v1/stats - - ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:38 GMT
GET /api/v1/songs - - ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:38 GMT
GET /api/v1/stats - - ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:38 GMT
GET /api/v1/stats - - ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:38 GMT
GET /api/v1/songs 200 15769.848 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:54 GMT
GET /api/v1/songs 304 1163.761 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:56 GMT
GET /api/v1/stats 200 17614.023 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:56 GMT
GET /api/v1/stats 304 1647.036 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:35:58 GMT
POST /api/v1/songs 400 7.500 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:36:08 GMT
POST /api/v1/songs 400 2.387 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:36:32 GMT
GET /api/v1/songs 304 345.907 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:37:42 GMT
GET /api/v1/stats 304 1212.711 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:37:43 GMT
GET /api/v1/songs 304 6950.138 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:38:24 GMT
GET /api/v1/stats 304 8143.586 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:38:25 GMT
GET /api/v1/songs 304 548.992 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:38:44 GMT
GET /api/v1/songs 304 362.221 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:38:44 GMT
GET /api/v1/stats 304 1701.942 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:38:45 GMT
GET /api/v1/stats 304 1215.007 ms Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Mon, 02 Sep 2024 08:38:46 GMT
